date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:35:36	40314/40314	---M-Z	200	added ('OK')	text/html	etag:%22b8c3555-9d7a-577bbf1d38ae6-gzip%22	http://codervent.com/rocker/color-version/index.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/index.html	(from )
16:35:36	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2006%20Feb%202019%2015:35:36%20GMT	http://codervent.com/robots.txt		(from )
16:35:37	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%22b8e22d2-47e-574ab5d26dd5b%22	http://codervent.com/rocker/color-version/assets/images/favicon.ico	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/images/favicon.ico	(from http://codervent.com/rocker/color-version/index.html)
16:35:37	6578/6578	---M--	200	added ('OK')	text/css	etag:%22b92307e-19b2-574ab6a21d524%22	http://codervent.com/rocker/color-version/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/plugins/vectormap/jquery-jvectormap-2.0.2.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:37	2240/2240	---M--	200	added ('OK')	text/css	etag:%22ba81a37-8c0-574ab7049f57e%22	http://codervent.com/rocker/color-version/assets/plugins/simplebar/css/simplebar.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/plugins/simplebar/css/simplebar.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:39	140936/140936	---M--	200	added ('OK')	text/css	etag:%22b8c357e-22688-574ab5c038f21%22	http://codervent.com/rocker/color-version/assets/css/bootstrap.min.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/css/bootstrap.min.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:41	75052/75052	---M--	200	added ('OK')	text/css	etag:%22b8c357c-1252c-574ab5bf25cc9%22	http://codervent.com/rocker/color-version/assets/css/animate.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/css/animate.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:45	221290/221290	---M--	200	added ('OK')	text/css	etag:%22b8c357f-3606a-574ab5c14fff9%22	http://codervent.com/rocker/color-version/assets/css/icons.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/css/icons.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:45	3780/3780	---M--	200	added ('OK')	text/css	etag:%22b8c3580-ec4-574ab5c0a78a9%22	http://codervent.com/rocker/color-version/assets/css/sidebar-menu.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/css/sidebar-menu.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:48	109338/109338	---M--	200	added ('OK')	text/css	etag:%22b8c357b-1ab1a-57a37a78c8e06%22	http://codervent.com/rocker/color-version/assets/css/app-style.css	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/css/app-style.css	(from http://codervent.com/rocker/color-version/index.html)
16:35:48	40960/40960	---M-Z	200	added ('OK')	text/html	etag:%22b8c3556-a000-577bbf1c736a5-gzip%22	http://codervent.com/rocker/color-version/index2.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/index2.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:49	36508/36508	---M-Z	200	added ('OK')	text/html	etag:%22b8c3557-8e9c-577bbf1bb9de4-gzip%22	http://codervent.com/rocker/color-version/index3.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/index3.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:49	6308/6308	---M--	200	added ('OK')	image/png	etag:%22b8e22d3-18a4-574ab5d286bcb%22	http://codervent.com/rocker/color-version/assets/images/logo-icon.png	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/assets/images/logo-icon.png	(from http://codervent.com/rocker/color-version/index.html)
16:35:49	36879/36879	---M-Z	200	added ('OK')	text/html	etag:%22b8c3558-900f-577bbf1a8e102-gzip%22	http://codervent.com/rocker/color-version/index4.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/index4.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:50	37060/37060	---M-Z	200	added ('OK')	text/html	etag:%22b8c3577-90c4-574ab5bccbbf9-gzip%22	http://codervent.com/rocker/color-version/ui-typography.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-typography.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:50	109230/109230	---M-Z	200	added ('OK')	text/html	etag:%22b8c356e-1aaae-575c019cc46ac-gzip%22	http://codervent.com/rocker/color-version/ui-buttons.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-buttons.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:50	31604/31604	---M-Z	200	added ('OK')	text/html	etag:%22b8c356f-7b74-57a37a87bc09a-gzip%22	http://codervent.com/rocker/color-version/ui-checkbox-radio.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-checkbox-radio.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:51	78970/78970	---M-Z	200	added ('OK')	text/html	etag:%22b8c3572-1347a-574ab5bb8ca81-gzip%22	http://codervent.com/rocker/color-version/ui-nav-tabs.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-nav-tabs.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:51	53546/53546	---M-Z	200	added ('OK')	text/html	etag:%22b8c356b-d12a-574ab5b8c3859-gzip%22	http://codervent.com/rocker/color-version/ui-accordions.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-accordions.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:52	81247/81247	---M-Z	200	added ('OK')	text/html	etag:%22b8c3571-13d5f-574ab5baec801-gzip%22	http://codervent.com/rocker/color-version/ui-modals.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-modals.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:52	31793/31793	---M-Z	200	added ('OK')	text/html	etag:%22b8c356d-7c31-574ab5b960811-gzip%22	http://codervent.com/rocker/color-version/ui-bootstrap-elements.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-bootstrap-elements.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:52	65567/65567	---M-Z	200	added ('OK')	text/html	etag:%22b8c3574-1001f-574ab5bc3aba9-gzip%22	http://codervent.com/rocker/color-version/ui-pagination.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-pagination.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:53	56463/56463	---M-Z	200	added ('OK')	text/html	etag:%22b8c3570-dc8f-575c019904b2e-gzip%22	http://codervent.com/rocker/color-version/ui-list-groups.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-list-groups.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:53	46590/46590	---M-Z	200	added ('OK')	text/html	etag:%22b8c356c-b5fe-574ab5b9321e1-gzip%22	http://codervent.com/rocker/color-version/ui-alerts.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-alerts.html	(from http://codervent.com/rocker/color-version/index.html)
16:35:54	30485/30485	---M-Z	200	added ('OK')	text/html	etag:%22b8c3575-7715-574ab5bc24061-gzip%22	http://codervent.com/rocker/color-version/ui-progressbars.html	C:/Mes%20Sites%20Web/theme%20admin/codervent.com/rocker/color-version/ui-progressbars.html	(from http://codervent.com/rocker/color-version/index.html)
